max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.00894928, -0.065305, 0.0659153, -0.109988, 0.0117359, -0.0894561, 0.0902227, -0.127834
0.011363, -0.0558252, 0.0569699, -0.109028, 0.00548172, -0.0963168, 0.0964727, -0.112082
-0.00631237, -0.0433609, 0.043818, -0.0895412, 0.0021677, -0.114166, 0.114186, -0.110372
-0.0014286, -0.077897, 0.0779101, -0.111782, -0.000756264, -0.127752, 0.127755, -0.0822538
-0.00649071, -0.116736, 0.116916, -0.12936, -0.00516033, -0.115675, 0.11579, -0.0683286
-0.0155449, 0.014586, 0.0213165, -0.0760056, -0.0144768, -0.0940446, 0.0951523, -0.0908943
-0.0238447, -0.02373, 0.0336405, -0.0908301, -0.0209227, -0.113381, 0.115295, -0.1154
-0.011672, -0.09828, 0.0989706, -0.134916, -0.00896454, -0.0683062, 0.0688919, -0.113984
-0.0165577, -0.0414271, 0.0446134, -0.103586, -0.0283594, -0.108038, 0.111698, -0.138874
-0.041688, -0.0789014, 0.0892374, -0.119848, -0.0195742, -0.0810899, 0.0834189, -0.135462
-0.0301542, -0.0423744, 0.0520083, -0.101358, -0.0291929, -0.080019, 0.0851779, -0.093756
-0.0301752, -0.0343899, 0.0457516, -0.0927322, -0.0166464, -0.0624526, 0.064633, -0.093601
-0.0720472, -0.122092, 0.141765, -0.131319, -0.0219688, -0.0743194, 0.0774984, -0.110237
-0.064147, -0.0916413, 0.111861, -0.143336, -0.0121775, -0.082297, 0.083193, -0.138751
-0.0779295, -0.056459, 0.0962321, -0.106194, -0.0756636, -0.0665026, 0.100735, -0.128979
-0.0190096, -0.0609173, 0.0638144, -0.122474, -0.0786047, -0.065279, 0.102177, -0.138938
-0.0432968, -0.0631304, 0.076551, -0.127917, -0.0828295, -0.0650229, 0.105303, -0.167121
-0.0452662, -0.0566993, 0.0725523, -0.114528, -0.127763, -0.0734754, 0.147384, 1.59773
-0.0465326, -0.0513007, 0.0692607, -0.122001, -0.127193, -0.0603775, 0.140796, -0.30661
-0.0626955, -0.0463275, 0.0779549, -0.138202, -0.13785, -0.0595319, 0.150156, -0.190426
-0.0778351, -0.0512274, 0.0931802, -0.139957, -0.105586, -0.0432761, 0.11411, -0.193816
-0.031486, 0.0187156, 0.0366285, -0.0785949, -0.10175, -0.0299908, 0.106078, -0.149081
